intensidad_media,mediana,desviacion_std,varianza,asimetria,curtosis,p10,p90,rango,homogeneidad,energia,contraste,correlacion,entropia,lbp_entropia,lbp_energia,area,circularidad,compacidad,solidez,excentricidad,extension,Clase
0.4668523,0.43083,0.1685683,0.02841528,0.4868671,2.527648,0.2687747,0.7233202,0.4545455,0.9658138,0.2685136,0.101591,0.9707566,7.349428,2.716621,0.1844855,125486,0.8500876,1.176349,0.968428,0.5096127,0.7305042,2
0.4126769,0.4078431,0.1488831,0.02216617,0.3229325,3.320361,0.2156863,0.6039216,0.3882353,0.9600166,0.2845263,0.1408674,0.9577993,7.255492,2.713913,0.1869956,88436,0.8836445,1.131677,0.980074,0.8056798,0.7960896,2
0.2963215,0.2716049,0.1318725,0.01739037,1.212176,5.641281,0.1563786,0.4609053,0.3045267,0.9548244,0.2687994,0.2278692,0.9522331,6.85765,2.698643,0.1860492,21931,0.9385877,1.065431,0.9914109,0.741433,0.7495216,1
0.2449228,0.2357724,0.0797082,0.006353398,0.8856109,4.847599,0.1504065,0.3495935,0.199187,0.9414186,0.2702217,0.2964473,0.9461437,6.227119,2.684012,0.189232,10231,0.7895244,1.266585,0.9685695,0.8213473,0.711227,1
0.1296236,0.05098039,0.1745971,0.03048416,2.034901,7.092018,0.01176471,0.372549,0.3607843,0.981937,0.4639089,0.07259274,0.9858765,5.498679,2.467801,0.2460604,104544,0.9035749,1.106715,0.9667557,0.6637005,0.7965986,2
0.1987042,0.1803922,0.08402552,0.007060289,2.491718,14.64838,0.1215686,0.2941177,0.172549,0.9685471,0.4072489,0.1925531,0.9654479,6.081964,2.892218,0.1570859,21524,0.9480064,1.054845,0.9787641,0.4658572,0.7584214,2
0.1936509,0.1843137,0.08633538,0.007453798,2.203554,13.949,0.1019608,0.282353,0.1803922,0.9636377,0.4388734,0.1770277,0.9611854,6.253454,2.69766,0.186664,49232,0.9344968,1.070095,0.9900059,0.7171925,0.8212725,2
0.3913541,0.3607843,0.1568101,0.02458939,0.6753417,2.790859,0.2196078,0.6117647,0.3921569,0.9617617,0.2533298,0.1146283,0.973313,7.166666,2.713595,0.186147,57590,0.8603708,1.16229,0.9795051,0.815476,0.6933709,2
0.1293138,0.1137255,0.06443871,0.004152347,2.191848,10.11398,0.07450981,0.2078431,0.1333333,0.9708385,0.4718085,0.4231906,0.9394763,5.618681,2.556984,0.2088153,5006,0.8751734,1.142631,0.9765899,0.8181,0.6690724,1
0.4333961,0.4330709,0.1117778,0.01249427,0.4576533,4.275017,0.2992126,0.5629922,0.2637795,0.9570805,0.3257954,0.1604491,0.9578192,6.79344,2.793907,0.1783389,10459,0.8607467,1.161782,0.9722971,0.8154439,0.6604572,1
